,crop_name,crop_num,date,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
31,鳳梨-金鑽鳳梨,B2,2012-02-16,23.1,12.0,鳳山區,830,16.7,16.7,17580.0,2012,2,16,3
32,鳳梨-金鑽鳳梨,B2,2012-02-17,23.1,13.0,鳳山區,830,16.9,16.9,15440.0,2012,2,17,4
33,鳳梨-金鑽鳳梨,B2,2012-02-18,24.0,10.0,鳳山區,830,16.2,16.2,17370.0,2012,2,18,5
34,鳳梨-金鑽鳳梨,B2,2012-02-19,22.1,10.0,鳳山區,830,13.5,13.5,44150.0,2012,2,19,6
35,鳳梨-金鑽鳳梨,B2,2012-02-21,24.0,10.0,鳳山區,830,17.4,17.4,23070.0,2012,2,21,1
36,鳳梨-金鑽鳳梨,B2,2012-02-22,22.0,12.0,鳳山區,830,15.3,15.3,12780.0,2012,2,22,2
37,鳳梨-金鑽鳳梨,B2,2012-02-23,22.0,11.0,鳳山區,830,14.1,14.1,17170.0,2012,2,23,3
38,鳳梨-金鑽鳳梨,B2,2012-02-24,24.0,12.0,鳳山區,830,17.5,17.5,20970.0,2012,2,24,4
39,鳳梨-金鑽鳳梨,B2,2012-02-25,22.1,12.0,鳳山區,830,14.2,14.2,8320.0,2012,2,25,5
40,鳳梨-金鑽鳳梨,B2,2012-02-26,24.0,10.0,鳳山區,830,15.4,15.4,24830.0,2012,2,26,6
41,鳳梨-金鑽鳳梨,B2,2012-02-28,22.0,11.1,鳳山區,830,15.4,15.4,37410.0,2012,2,28,1
42,鳳梨-金鑽鳳梨,B2,2012-02-29,23.0,10.2,鳳山區,830,16.2,16.2,31080.0,2012,2,29,2
43,鳳梨-金鑽鳳梨,B2,2012-03-01,22.0,11.0,鳳山區,830,15.1,15.1,37830.0,2012,3,1,3
44,鳳梨-金鑽鳳梨,B2,2012-03-03,22.0,13.0,鳳山區,830,16.7,16.7,9360.0,2012,3,3,5
45,鳳梨-金鑽鳳梨,B2,2012-03-04,21.1,10.0,鳳山區,830,14.5,14.5,18960.0,2012,3,4,6
46,鳳梨-金鑽鳳梨,B2,2012-03-06,22.0,10.0,鳳山區,830,15.1,15.1,26600.0,2012,3,6,1
47,鳳梨-金鑽鳳梨,B2,2012-03-07,22.1,12.0,鳳山區,830,16.3,16.3,23860.0,2012,3,7,2
48,鳳梨-金鑽鳳梨,B2,2012-03-08,24.2,12.0,鳳山區,830,16.6,16.6,11560.0,2012,3,8,3
49,鳳梨-金鑽鳳梨,B2,2012-03-10,21.1,10.0,鳳山區,830,14.1,14.1,32390.0,2012,3,10,5
50,鳳梨-金鑽鳳梨,B2,2012-03-11,21.1,12.0,鳳山區,830,15.4,15.4,20310.0,2012,3,11,6
51,鳳梨-金鑽鳳梨,B2,2012-03-13,20.0,11.0,鳳山區,830,14.5,14.5,21770.0,2012,3,13,1
52,鳳梨-金鑽鳳梨,B2,2012-03-14,24.0,10.0,鳳山區,830,14.5,14.5,27430.0,2012,3,14,2
53,鳳梨-金鑽鳳梨,B2,2012-03-15,22.1,10.0,鳳山區,830,15.1,15.1,27350.0,2012,3,15,3
54,鳳梨-金鑽鳳梨,B2,2012-03-16,23.0,11.0,鳳山區,830,17.2,17.2,15010.0,2012,3,16,4
55,鳳梨-金鑽鳳梨,B2,2012-03-17,22.0,10.0,鳳山區,830,14.6,14.6,17950.0,2012,3,17,5
56,鳳梨-金鑽鳳梨,B2,2012-03-18,25.0,10.0,鳳山區,830,15.5,15.5,16920.0,2012,3,18,6
57,鳳梨-金鑽鳳梨,B2,2012-03-20,24.1,12.0,鳳山區,830,14.7,14.7,7320.0,2012,3,20,1
58,鳳梨-金鑽鳳梨,B2,2012-03-21,22.0,12.0,鳳山區,830,15.6,15.6,22200.0,2012,3,21,2
59,鳳梨-金鑽鳳梨,B2,2012-03-22,23.1,12.0,鳳山區,830,15.8,15.8,15650.0,2012,3,22,3
60,鳳梨-金鑽鳳梨,B2,2012-03-23,25.0,11.0,鳳山區,830,14.8,14.8,29710.0,2012,3,23,4
61,鳳梨-金鑽鳳梨,B2,2012-03-24,25.0,10.0,鳳山區,830,16.9,16.9,32210.0,2012,3,24,5
62,鳳梨-金鑽鳳梨,B2,2012-03-25,24.0,10.0,鳳山區,830,16.6,16.6,24020.0,2012,3,25,6
63,鳳梨-金鑽鳳梨,B2,2012-03-27,24.0,12.0,鳳山區,830,16.2,16.2,27160.0,2012,3,27,1
64,鳳梨-金鑽鳳梨,B2,2012-03-28,21.1,11.0,鳳山區,830,15.0,15.0,14120.0,2012,3,28,2
65,鳳梨-金鑽鳳梨,B2,2012-03-29,24.1,13.0,鳳山區,830,16.9,16.9,19100.0,2012,3,29,3
66,鳳梨-金鑽鳳梨,B2,2012-03-30,24.0,13.0,鳳山區,830,17.8,17.8,8930.0,2012,3,30,4
67,鳳梨-金鑽鳳梨,B2,2012-03-31,25.2,11.0,鳳山區,830,15.6,15.6,22910.0,2012,3,31,5
68,鳳梨-金鑽鳳梨,B2,2012-04-01,26.1,11.0,鳳山區,830,17.6,17.6,23020.0,2012,4,1,6
69,鳳梨-金鑽鳳梨,B2,2012-04-03,25.0,12.0,鳳山區,830,16.5,16.5,27500.0,2012,4,3,1
70,鳳梨-金鑽鳳梨,B2,2012-04-06,25.0,14.0,鳳山區,830,18.4,18.4,19530.0,2012,4,6,4
71,鳳梨-金鑽鳳梨,B2,2012-04-07,25.0,12.0,鳳山區,830,15.9,15.9,18240.0,2012,4,7,5
72,鳳梨-金鑽鳳梨,B2,2012-04-08,25.0,12.0,鳳山區,830,16.9,16.9,37760.0,2012,4,8,6
73,鳳梨-金鑽鳳梨,B2,2012-04-10,24.2,10.0,鳳山區,830,15.2,15.2,31590.0,2012,4,10,1
74,鳳梨-金鑽鳳梨,B2,2012-04-11,25.0,12.0,鳳山區,830,16.4,16.4,22560.0,2012,4,11,2
75,鳳梨-金鑽鳳梨,B2,2012-04-12,22.1,11.0,鳳山區,830,15.3,15.3,25330.0,2012,4,12,3
76,鳳梨-金鑽鳳梨,B2,2012-04-13,24.0,10.0,鳳山區,830,15.2,15.2,31270.0,2012,4,13,4
77,鳳梨-金鑽鳳梨,B2,2012-04-14,24.1,12.0,鳳山區,830,16.1,16.1,22260.0,2012,4,14,5
78,鳳梨-金鑽鳳梨,B2,2012-04-15,24.2,12.0,鳳山區,830,15.0,15.0,37110.0,2012,4,15,6
79,鳳梨-金鑽鳳梨,B2,2012-04-17,21.1,10.0,鳳山區,830,14.7,14.7,31950.0,2012,4,17,1
80,鳳梨-金鑽鳳梨,B2,2012-04-18,21.1,12.0,鳳山區,830,16.1,16.1,22320.0,2012,4,18,2
81,鳳梨-金鑽鳳梨,B2,2012-04-19,22.0,10.0,鳳山區,830,14.5,14.5,23690.0,2012,4,19,3
82,鳳梨-金鑽鳳梨,B2,2012-04-20,21.1,10.0,鳳山區,830,13.3,13.3,25580.0,2012,4,20,4
83,鳳梨-金鑽鳳梨,B2,2012-04-22,23.0,12.0,鳳山區,830,16.6,16.6,27330.0,2012,4,22,6
84,鳳梨-金鑽鳳梨,B2,2012-04-24,24.2,12.0,鳳山區,830,16.7,16.7,27410.0,2012,4,24,1
85,鳳梨-金鑽鳳梨,B2,2012-04-25,22.1,13.0,鳳山區,830,16.1,16.1,34700.0,2012,4,25,2
86,鳳梨-金鑽鳳梨,B2,2012-04-26,22.0,12.0,鳳山區,830,16.2,16.2,17050.0,2012,4,26,3
87,鳳梨-金鑽鳳梨,B2,2012-04-27,22.1,12.0,鳳山區,830,16.0,16.0,8520.0,2012,4,27,4
88,鳳梨-金鑽鳳梨,B2,2012-04-28,21.1,13.0,鳳山區,830,16.1,16.1,12170.0,2012,4,28,5
89,鳳梨-金鑽鳳梨,B2,2012-04-29,22.0,12.0,鳳山區,830,15.7,15.7,23510.0,2012,4,29,6
90,鳳梨-金鑽鳳梨,B2,2012-05-01,22.1,11.0,鳳山區,830,14.9,14.9,36910.0,2012,5,1,1
91,鳳梨-金鑽鳳梨,B2,2012-05-02,23.1,14.0,鳳山區,830,18.2,18.2,21850.0,2012,5,2,2
92,鳳梨-金鑽鳳梨,B2,2012-05-03,22.1,13.0,鳳山區,830,16.7,16.7,33560.0,2012,5,3,3
93,鳳梨-金鑽鳳梨,B2,2012-05-04,23.1,11.0,鳳山區,830,14.0,14.0,20330.0,2012,5,4,4
94,鳳梨-金鑽鳳梨,B2,2012-05-05,24.1,13.0,鳳山區,830,16.2,16.2,25750.0,2012,5,5,5
95,鳳梨-金鑽鳳梨,B2,2012-05-06,22.1,12.0,鳳山區,830,16.4,16.4,34380.0,2012,5,6,6
96,鳳梨-金鑽鳳梨,B2,2012-05-09,22.0,13.0,鳳山區,830,16.7,16.7,12720.0,2012,5,9,2
97,鳳梨-金鑽鳳梨,B2,2012-05-10,24.1,12.0,鳳山區,830,17.0,17.0,27980.0,2012,5,10,3
98,鳳梨-金鑽鳳梨,B2,2012-05-11,25.0,15.0,鳳山區,830,18.9,18.9,7620.0,2012,5,11,4
99,鳳梨-金鑽鳳梨,B2,2012-05-12,25.0,13.0,鳳山區,830,17.1,17.1,32250.0,2012,5,12,5
100,鳳梨-金鑽鳳梨,B2,2012-05-13,25.0,12.0,鳳山區,830,17.5,17.5,16390.0,2012,5,13,6
101,鳳梨-金鑽鳳梨,B2,2012-05-15,24.5,15.0,鳳山區,830,19.1,19.1,13720.0,2012,5,15,1
102,鳳梨-金鑽鳳梨,B2,2012-05-16,25.0,12.0,鳳山區,830,17.4,17.4,31540.0,2012,5,16,2
103,鳳梨-金鑽鳳梨,B2,2012-05-17,26.1,15.0,鳳山區,830,19.4,19.4,21860.0,2012,5,17,3
104,鳳梨-金鑽鳳梨,B2,2012-05-18,25.0,17.0,鳳山區,830,20.1,20.1,6960.0,2012,5,18,4
105,鳳梨-金鑽鳳梨,B2,2012-05-19,26.1,14.0,鳳山區,830,18.9,18.9,24490.0,2012,5,19,5
106,鳳梨-金鑽鳳梨,B2,2012-05-20,25.0,14.0,鳳山區,830,18.4,18.4,19360.0,2012,5,20,6
107,鳳梨-金鑽鳳梨,B2,2012-05-22,25.0,14.0,鳳山區,830,17.7,17.7,21060.0,2012,5,22,1
108,鳳梨-金鑽鳳梨,B2,2012-05-24,26.1,13.0,鳳山區,830,19.6,19.6,22630.0,2012,5,24,3
109,鳳梨-金鑽鳳梨,B2,2012-05-26,25.0,13.0,鳳山區,830,18.5,18.5,18610.0,2012,5,26,5
110,鳳梨-金鑽鳳梨,B2,2012-05-27,23.0,15.0,鳳山區,830,19.1,19.1,10030.0,2012,5,27,6
111,鳳梨-金鑽鳳梨,B2,2012-05-29,25.0,13.0,鳳山區,830,18.4,18.4,19020.0,2012,5,29,1
112,鳳梨-金鑽鳳梨,B2,2012-05-30,24.0,13.0,鳳山區,830,17.7,17.7,18960.0,2012,5,30,2
113,鳳梨-金鑽鳳梨,B2,2012-05-31,22.0,12.0,鳳山區,830,16.6,16.6,8860.0,2012,5,31,3
114,鳳梨-金鑽鳳梨,B2,2012-06-01,22.1,10.0,鳳山區,830,15.0,15.0,33260.0,2012,6,1,4
115,鳳梨-金鑽鳳梨,B2,2012-06-02,22.1,11.0,鳳山區,830,16.1,16.1,25810.0,2012,6,2,5
116,鳳梨-金鑽鳳梨,B2,2012-06-03,23.2,12.0,鳳山區,830,16.0,16.0,21210.0,2012,6,3,6
117,鳳梨-金鑽鳳梨,B2,2012-06-05,25.0,13.0,鳳山區,830,17.0,17.0,20210.0,2012,6,5,1
118,鳳梨-金鑽鳳梨,B2,2012-06-06,25.0,14.1,鳳山區,830,17.7,17.7,15630.0,2012,6,6,2
119,鳳梨-金鑽鳳梨,B2,2012-06-07,22.2,15.0,鳳山區,830,16.9,16.9,25150.0,2012,6,7,3
120,鳳梨-金鑽鳳梨,B2,2012-06-08,25.0,12.0,鳳山區,830,15.2,15.2,33560.0,2012,6,8,4
121,鳳梨-金鑽鳳梨,B2,2012-06-09,24.0,13.0,鳳山區,830,16.3,16.3,11760.0,2012,6,9,5
122,鳳梨-金鑽鳳梨,B2,2012-06-10,26.0,14.0,鳳山區,830,18.5,18.5,9080.0,2012,6,10,6
123,鳳梨-金鑽鳳梨,B2,2012-06-12,26.1,12.0,鳳山區,830,15.8,15.8,27080.0,2012,6,12,1
124,鳳梨-金鑽鳳梨,B2,2012-06-13,30.0,14.1,鳳山區,830,18.6,18.6,15090.0,2012,6,13,2
125,鳳梨-金鑽鳳梨,B2,2012-06-14,30.0,14.0,鳳山區,830,19.3,19.3,17610.0,2012,6,14,3
126,鳳梨-金鑽鳳梨,B2,2012-06-15,30.0,13.0,鳳山區,830,19.5,19.5,23970.0,2012,6,15,4
127,鳳梨-金鑽鳳梨,B2,2012-06-16,30.1,15.0,鳳山區,830,19.6,19.6,14310.0,2012,6,16,5
128,鳳梨-金鑽鳳梨,B2,2012-06-19,28.4,13.0,鳳山區,830,18.3,18.3,16750.0,2012,6,19,1
129,鳳梨-金鑽鳳梨,B2,2012-06-20,28.2,15.0,鳳山區,830,19.1,19.1,16960.0,2012,6,20,2
130,鳳梨-金鑽鳳梨,B2,2012-06-21,28.2,14.0,鳳山區,830,18.4,18.4,23730.0,2012,6,21,3
131,鳳梨-金鑽鳳梨,B2,2012-06-22,26.0,14.0,鳳山區,830,19.2,19.2,16030.0,2012,6,22,4
132,鳳梨-金鑽鳳梨,B2,2012-06-23,25.0,13.0,鳳山區,830,18.4,18.4,21090.0,2012,6,23,5
133,鳳梨-金鑽鳳梨,B2,2012-06-26,25.0,13.0,鳳山區,830,17.6,17.6,23600.0,2012,6,26,1
134,鳳梨-金鑽鳳梨,B2,2012-06-27,23.0,10.0,鳳山區,830,14.8,14.8,11370.0,2012,6,27,2
135,鳳梨-金鑽鳳梨,B2,2012-06-28,26.1,11.0,鳳山區,830,16.1,16.1,19640.0,2012,6,28,3
136,鳳梨-金鑽鳳梨,B2,2012-06-29,24.1,12.0,鳳山區,830,17.5,17.5,17750.0,2012,6,29,4
137,鳳梨-金鑽鳳梨,B2,2012-06-30,25.0,13.0,鳳山區,830,16.9,16.9,11590.0,2012,6,30,5
138,鳳梨-金鑽鳳梨,B2,2012-07-01,24.0,11.0,鳳山區,830,15.8,15.8,25910.0,2012,7,1,6
139,鳳梨-金鑽鳳梨,B2,2012-07-03,25.4,12.0,鳳山區,830,16.3,16.3,21710.0,2012,7,3,1
140,鳳梨-金鑽鳳梨,B2,2012-07-04,25.0,12.0,鳳山區,830,16.9,16.9,17800.0,2012,7,4,2
141,鳳梨-金鑽鳳梨,B2,2012-07-06,24.1,12.0,鳳山區,830,16.2,16.2,20500.0,2012,7,6,4
142,鳳梨-金鑽鳳梨,B2,2012-07-07,24.0,10.0,鳳山區,830,15.7,15.7,20660.0,2012,7,7,5
143,鳳梨-金鑽鳳梨,B2,2012-07-08,28.4,11.0,鳳山區,830,17.9,17.9,14990.0,2012,7,8,6
144,鳳梨-金鑽鳳梨,B2,2012-07-10,27.1,11.0,鳳山區,830,17.0,17.1,26520.0,2012,7,10,1
145,鳳梨-金鑽鳳梨,B2,2012-07-11,27.1,14.0,鳳山區,830,18.2,18.2,8780.0,2012,7,11,2
146,鳳梨-金鑽鳳梨,B2,2012-07-12,26.1,14.0,鳳山區,830,18.4,18.5,16030.0,2012,7,12,3
147,鳳梨-金鑽鳳梨,B2,2012-07-13,28.2,10.0,鳳山區,830,16.4,16.4,16840.0,2012,7,13,4
148,鳳梨-金鑽鳳梨,B2,2012-07-14,28.1,13.0,鳳山區,830,17.9,17.9,17400.0,2012,7,14,5
149,鳳梨-金鑽鳳梨,B2,2012-07-15,30.2,14.0,鳳山區,830,18.5,18.5,13640.0,2012,7,15,6
150,鳳梨-金鑽鳳梨,B2,2012-07-17,32.0,14.0,鳳山區,830,19.8,19.8,20820.0,2012,7,17,1
151,鳳梨-金鑽鳳梨,B2,2012-07-18,31.0,14.0,鳳山區,830,19.8,19.8,12810.0,2012,7,18,2
152,鳳梨-金鑽鳳梨,B2,2012-07-19,30.1,12.0,鳳山區,830,19.0,19.0,15820.0,2012,7,19,3
153,鳳梨-金鑽鳳梨,B2,2012-07-20,30.1,10.0,鳳山區,830,16.1,16.1,24850.0,2012,7,20,4
154,鳳梨-金鑽鳳梨,B2,2012-07-21,28.0,10.0,鳳山區,830,17.2,17.2,17450.0,2012,7,21,5
155,鳳梨-金鑽鳳梨,B2,2012-07-22,28.1,14.0,鳳山區,830,19.2,19.2,13780.0,2012,7,22,6
156,鳳梨-金鑽鳳梨,B2,2012-07-24,25.0,10.0,鳳山區,830,14.0,14.0,18690.0,2012,7,24,1
157,鳳梨-金鑽鳳梨,B2,2012-07-25,29.0,15.0,鳳山區,830,19.4,19.4,14830.0,2012,7,25,2
158,鳳梨-金鑽鳳梨,B2,2012-07-26,30.1,15.0,鳳山區,830,19.0,19.0,15220.0,2012,7,26,3
159,鳳梨-金鑽鳳梨,B2,2012-07-27,27.2,10.0,鳳山區,830,17.2,17.2,15940.0,2012,7,27,4
160,鳳梨-金鑽鳳梨,B2,2012-07-28,28.1,10.0,鳳山區,830,18.7,18.7,14570.0,2012,7,28,5
161,鳳梨-金鑽鳳梨,B2,2012-07-29,27.1,12.0,鳳山區,830,17.4,17.4,16180.0,2012,7,29,6
162,鳳梨-金鑽鳳梨,B2,2012-07-31,29.0,13.0,鳳山區,830,18.7,18.7,15640.0,2012,7,31,1
163,鳳梨-金鑽鳳梨,B2,2012-08-01,29.1,12.0,鳳山區,830,18.0,18.0,23930.0,2012,8,1,2
164,鳳梨-金鑽鳳梨,B2,2012-08-02,28.4,13.0,鳳山區,830,18.9,18.9,16210.0,2012,8,2,3
165,鳳梨-金鑽鳳梨,B2,2012-08-03,30.1,10.0,鳳山區,830,17.1,17.1,17460.0,2012,8,3,4
166,鳳梨-金鑽鳳梨,B2,2012-08-04,29.1,15.0,鳳山區,830,19.3,19.3,14730.0,2012,8,4,5
167,鳳梨-金鑽鳳梨,B2,2012-08-05,28.1,11.0,鳳山區,830,17.0,17.0,23940.0,2012,8,5,6
168,鳳梨-金鑽鳳梨,B2,2012-08-07,35.1,15.0,鳳山區,830,21.3,21.3,14720.0,2012,8,7,1
169,鳳梨-金鑽鳳梨,B2,2012-08-08,32.1,14.0,鳳山區,830,20.1,20.1,14950.0,2012,8,8,2
170,鳳梨-金鑽鳳梨,B2,2012-08-09,36.1,14.0,鳳山區,830,20.7,20.7,14720.0,2012,8,9,3
171,鳳梨-金鑽鳳梨,B2,2012-08-10,35.7,15.0,鳳山區,830,20.6,20.6,19820.0,2012,8,10,4
172,鳳梨-金鑽鳳梨,B2,2012-08-11,35.1,14.0,鳳山區,830,18.8,18.8,16560.0,2012,8,11,5
173,鳳梨-金鑽鳳梨,B2,2012-08-12,35.1,12.0,鳳山區,830,17.5,17.5,21080.0,2012,8,12,6
174,鳳梨-金鑽鳳梨,B2,2012-08-14,30.3,12.0,鳳山區,830,18.9,18.9,13620.0,2012,8,14,1
175,鳳梨-金鑽鳳梨,B2,2012-08-15,31.2,14.0,鳳山區,830,21.2,21.2,12430.0,2012,8,15,2
176,鳳梨-金鑽鳳梨,B2,2012-08-16,30.1,12.0,鳳山區,830,19.0,19.0,15390.0,2012,8,16,3
177,鳳梨-金鑽鳳梨,B2,2012-08-17,30.1,16.0,鳳山區,830,20.3,20.3,6500.0,2012,8,17,4
178,鳳梨-金鑽鳳梨,B2,2012-08-18,30.1,14.0,鳳山區,830,18.6,18.6,9240.0,2012,8,18,5
179,鳳梨-金鑽鳳梨,B2,2012-08-19,32.0,16.0,鳳山區,830,21.1,21.1,6220.0,2012,8,19,6
180,鳳梨-金鑽鳳梨,B2,2012-08-21,30.0,16.0,鳳山區,830,20.2,20.2,8490.0,2012,8,21,1
181,鳳梨-金鑽鳳梨,B2,2012-08-22,32.0,16.0,鳳山區,830,21.1,21.1,12680.0,2012,8,22,2
182,鳳梨-金鑽鳳梨,B2,2012-08-23,24.1,15.0,鳳山區,830,17.7,17.7,14030.0,2012,8,23,3
183,鳳梨-金鑽鳳梨,B2,2012-08-24,32.0,16.0,鳳山區,830,21.0,21.0,14510.0,2012,8,24,4
184,鳳梨-金鑽鳳梨,B2,2012-08-25,32.0,18.2,鳳山區,830,23.6,23.6,5510.0,2012,8,25,5
185,鳳梨-金鑽鳳梨,B2,2012-08-28,28.2,15.0,鳳山區,830,17.7,17.7,9610.0,2012,8,28,1
186,鳳梨-金鑽鳳梨,B2,2012-08-29,30.2,16.0,鳳山區,830,20.0,20.0,7470.0,2012,8,29,2
187,鳳梨-金鑽鳳梨,B2,2012-08-30,28.2,18.0,鳳山區,830,21.8,21.8,5820.0,2012,8,30,3
188,鳳梨-金鑽鳳梨,B2,2012-08-31,28.1,15.1,鳳山區,830,20.33,18.7,7650.0,2012,8,31,4
189,鳳梨-金鑽鳳梨,B2,2012-09-01,34.2,15.0,鳳山區,830,25.5,25.5,16130.0,2012,9,1,5
190,鳳梨-金鑽鳳梨,B2,2012-09-05,35.2,20.0,鳳山區,830,26.6,26.6,11520.0,2012,9,5,2
191,鳳梨-金鑽鳳梨,B2,2012-09-06,38.1,18.1,鳳山區,830,25.3,25.3,10720.0,2012,9,6,3
192,鳳梨-金鑽鳳梨,B2,2012-09-07,32.1,18.0,鳳山區,830,23.5,23.5,12210.0,2012,9,7,4
193,鳳梨-金鑽鳳梨,B2,2012-09-08,40.0,16.0,鳳山區,830,22.5,22.5,19050.0,2012,9,8,5
194,鳳梨-金鑽鳳梨,B2,2012-09-09,36.2,15.0,鳳山區,830,22.3,22.3,14010.0,2012,9,9,6
195,鳳梨-金鑽鳳梨,B2,2012-09-11,36.0,20.0,鳳山區,830,25.4,25.4,10400.0,2012,9,11,1
196,鳳梨-金鑽鳳梨,B2,2012-09-12,38.1,22.0,鳳山區,830,27.2,27.2,11110.0,2012,9,12,2
197,鳳梨-金鑽鳳梨,B2,2012-09-13,30.3,20.0,鳳山區,830,24.2,24.2,5610.0,2012,9,13,3
198,鳳梨-金鑽鳳梨,B2,2012-09-14,32.1,14.0,鳳山區,830,22.2,22.2,18020.0,2012,9,14,4
199,鳳梨-金鑽鳳梨,B2,2012-09-15,40.0,15.0,鳳山區,830,25.2,25.2,11100.0,2012,9,15,5
200,鳳梨-金鑽鳳梨,B2,2012-09-16,40.0,15.0,鳳山區,830,22.6,22.6,11030.0,2012,9,16,6
201,鳳梨-金鑽鳳梨,B2,2012-09-18,45.5,24.0,鳳山區,830,29.7,29.7,8560.0,2012,9,18,1
202,鳳梨-金鑽鳳梨,B2,2012-09-19,44.4,25.0,鳳山區,830,30.3,30.3,9430.0,2012,9,19,2
203,鳳梨-金鑽鳳梨,B2,2012-09-20,43.2,20.0,鳳山區,830,26.6,26.6,10820.0,2012,9,20,3
204,鳳梨-金鑽鳳梨,B2,2012-09-21,35.2,15.0,鳳山區,830,23.2,23.2,12560.0,2012,9,21,4
205,鳳梨-金鑽鳳梨,B2,2012-09-22,32.0,25.0,鳳山區,830,28.1,28.1,2850.0,2012,9,22,5
206,鳳梨-金鑽鳳梨,B2,2012-09-23,30.1,18.0,鳳山區,830,23.9,23.9,13170.0,2012,9,23,6
207,鳳梨-金鑽鳳梨,B2,2012-09-25,40.3,22.0,鳳山區,830,28.6,28.6,14740.0,2012,9,25,1
208,鳳梨-金鑽鳳梨,B2,2012-09-26,34.2,26.1,鳳山區,830,29.3,29.3,4410.0,2012,9,26,2
209,鳳梨-金鑽鳳梨,B2,2012-09-27,38.2,22.0,鳳山區,830,28.8,28.8,10480.0,2012,9,27,3
